time,signal
0,-87.07105269
0.005760037,-87.02874711
0.011520074,-86.98644153
0.017280111,-86.94413595
0.023040147,-86.90183036
0.028800184,-86.85952478
0.034560221,-86.8172192
0.040320258,-86.77491362
0.046080295,-86.73260804
0.051840332,-86.69030245
0.057600369,-86.73680686
0.063360406,-86.69450128
0.069120442,-86.6521957
0.074880479,-86.60989012
0.080640516,-86.56758453
0.086400553,-86.52527895
0.09216059,-86.48297337
0.097920627,-86.44066779
0.103680664,-86.3983622
0.1094407,-86.35605662
0.115200737,-86.28903083
0.120960774,-86.24672525
0.126720811,-86.20441966
0.132480848,-86.16211408
0.138240885,-86.1198085
0.144000922,-86.07750292
0.149760958,-86.03519734
0.155520995,-85.99289175
0.161281032,-85.95058617
0.167041069,-85.90828059
0.172801106,-85.85962071
0.178561143,-85.81731512
0.18432118,-85.77500954
0.190081217,-85.73270396
0.195841253,-85.69039838
0.20160129,-85.6480928
0.207361327,-85.60578721
0.213121364,-85.56348163
0.218881401,-85.52117605
0.224641438,-85.47887047
0.230401475,-85.53285345
0.236161511,-85.49054786
0.241921548,-85.44824228
0.247681585,-85.4059367
0.253441622,-85.36363112
0.259201659,-85.32132553
0.264961696,-85.27901995
0.270721733,-85.23671437
0.276481769,-85.19440879
0.282241806,-85.15210321
0.288001843,-85.21115651
0.29376188,-85.16885093
0.299521917,-85.12654534
0.305281954,-85.08423976
0.311041991,-85.04193418
0.316802028,-84.9996286
0.322562064,-84.95732302
0.328322101,-84.91501743
0.334082138,-84.87271185
0.339842175,-84.83040627
0.345602212,-84.75687388
0.351362249,-84.71456829
0.357122286,-84.67226271
0.362882322,-84.62995713
0.368642359,-84.58765155
0.374402396,-84.54534597
0.380162433,-84.50304038
0.38592247,-84.4607348
0.391682507,-84.41842922
0.397442544,-84.37612364
0.40320258,-84.4723022
0.408962617,-84.42999662
0.414722654,-84.38769104
0.420482691,-84.34538546
0.426242728,-84.30307987
0.432002765,-84.26077429
0.437762802,-84.21846871
0.443522839,-84.17616313
0.449282875,-84.13385755
0.455042912,-84.09155196
0.460802949,-84.02949073
0.466562986,-83.98718515
0.472323023,-83.94487957
0.47808306,-83.90257398
0.483843097,-83.8602684
0.489603133,-83.81796282
0.49536317,-83.77565724
0.501123207,-83.73335165
0.506883244,-83.69104607
0.512643281,-83.64874049
0.518403318,-83.74764036
0.524163355,-83.70533478
0.529923392,-83.6630292
0.535683428,-83.62072362
0.541443465,-83.57841803
0.547203502,-83.53611245
0.552963539,-83.49380687
0.558723576,-83.45150129
0.564483613,-83.40919571
0.57024365,-83.36689012
0.576003686,-83.21050331
0.581763723,-83.16819772
0.58752376,-83.12589214
0.593283797,-83.08358656
0.599043834,-83.04128098
0.604803871,-82.99897539
0.610563908,-82.95666981
0.616323944,-82.91436423
0.622083981,-82.87205865
0.627844018,-82.82975307
0.633604055,-82.86800683
0.639364092,-82.82570125
0.645124129,-82.78339566
0.650884166,-82.74109008
0.656644203,-82.6987845
0.662404239,-82.65647892
0.668164276,-82.61417334
0.673924313,-82.57186775
0.67968435,-82.52956217
0.685444387,-82.48725659
0.691204424,-81.19243395
0.696964461,-81.15012837
0.702724497,-81.10782279
0.708484534,-81.0655172
0.714244571,-81.02321162
0.720004608,-80.98090604
0.725764645,-80.93860046
0.731524682,-80.89629488
0.737284719,-80.85398929
0.743044755,-80.81168371
0.748804792,-80.79431727
0.754564829,-80.75201169
0.760324866,-80.7097061
0.766084903,-80.66740052
0.77184494,-80.62509494
0.777604977,-80.58278936
0.783365014,-80.54048378
0.78912505,-80.49817819
0.794885087,-80.45587261
0.800645124,-80.41356703
0.806405161,-80.44420261
0.812165198,-80.40189703
0.817925235,-80.35959145
0.823685272,-80.31728587
0.829445308,-80.27498028
0.835205345,-80.2326747
0.840965382,-80.19036912
0.846725419,-80.14806354
0.852485456,-80.10575796
0.858245493,-80.06345237
0.86400553,-80.0851361
0.869765566,-80.04283052
0.875525603,-80.00052493
0.88128564,-79.95821935
0.887045677,-79.91591377
0.892805714,-79.87360819
0.898565751,-79.83130261
0.904325788,-79.78899702
0.910085825,-79.74669144
0.915845861,-79.70438586
0.921605898,-79.6214648
0.927365935,-79.57915922
0.933125972,-79.53685364
0.938886009,-79.49454805
0.944646046,-79.45224247
0.950406083,-79.40993689
0.956166119,-79.36763131
0.961926156,-79.32532572
0.967686193,-79.28302014
0.97344623,-79.24071456
0.979206267,-79.28571289
0.984966304,-79.24340731
0.990726341,-79.20110173
0.996486378,-79.15879614
1.002246414,-79.11649056
1.008006451,-79.07418498
1.013766488,-79.0318794
1.019526525,-78.98957382
1.025286562,-78.94726823
1.031046599,-78.90496265
1.036806636,-78.76066148
1.042566672,-78.7183559
1.048326709,-78.67605032
1.054086746,-78.63374473
1.059846783,-78.59143915
1.06560682,-78.54913357
1.071366857,-78.50682799
1.077126894,-78.4645224
1.08288693,-78.42221682
1.088646967,-78.37991124
1.094407004,-78.44782439
1.100167041,-78.40551881
1.105927078,-78.36321323
1.111687115,-78.32090764
1.117447152,-78.27860206
1.123207189,-78.23629648
1.128967225,-78.1939909
1.134727262,-78.15168531
1.140487299,-78.10937973
1.146247336,-78.06707415
1.152007373,-78.11985988
1.15776741,-78.0775543
1.163527447,-78.03524872
1.169287483,-77.99294313
1.17504752,-77.95063755
1.180807557,-77.90833197
1.186567594,-77.86602639
1.192327631,-77.82372081
1.198087668,-77.78141522
1.203847705,-77.73910964
1.209607741,-77.6382214
1.215367778,-77.59591582
1.221127815,-77.55361024
1.226887852,-77.51130465
1.232647889,-77.46899907
1.238407926,-77.42669349
1.244167963,-77.38438791
1.249928,-77.34208233
1.255688036,-77.29977674
1.261448073,-77.25747116
1.26720811,-77.27863876
1.272968147,-77.23633318
1.278728184,-77.19402759
1.284488221,-77.15172201
1.290248258,-77.10941643
1.296008294,-77.06711085
1.301768331,-77.02480526
1.307528368,-76.98249968
1.313288405,-76.9401941
1.319048442,-76.89788852
1.324808479,-76.94276839
1.330568516,-76.90046281
1.336328553,-76.85815723
1.342088589,-76.81585165
1.347848626,-76.77354606
1.353608663,-76.73124048
1.3593687,-76.6889349
1.365128737,-76.64662932
1.370888774,-76.60432374
1.376648811,-76.56201815
1.382408847,-76.17756511
1.388168884,-76.13525953
1.393928921,-76.09295395
1.399688958,-76.05064837
1.405448995,-76.00834279
1.411209032,-75.9660372
1.416969069,-75.92373162
1.422729105,-75.88142604
1.428489142,-75.83912046
1.434249179,-75.79681487
1.440009216,-75.68004935
1.445769253,-75.63774377
1.45152929,-75.59543818
1.457289327,-75.5531326
1.463049364,-75.51082702
1.4688094,-75.46852144
1.474569437,-75.42621586
1.480329474,-75.38391027
1.486089511,-75.34160469
1.491849548,-75.29929911
1.497609585,-75.33409862
1.503369622,-75.29179304
1.509129658,-75.24948746
1.514889695,-75.20718188
1.520649732,-75.16487629
1.526409769,-75.12257071
1.532169806,-75.08026513
1.537929843,-75.03795955
1.54368988,-74.99565396
1.549449916,-74.95334838
1.555209953,-74.98938005
1.56096999,-74.94707446
1.566730027,-74.90476888
1.572490064,-74.8624633
1.578250101,-74.82015772
1.584010138,-74.77785213
1.589770175,-74.73554655
1.595530211,-74.69324097
1.601290248,-74.65093539
1.607050285,-74.6086298
1.612810322,-74.54900009
1.618570359,-74.5066945
1.624330396,-74.46438892
1.630090433,-74.42208334
1.635850469,-74.37977776
1.641610506,-74.33747217
1.647370543,-74.29516659
1.65313058,-74.25286101
1.658890617,-74.21055543
1.664650654,-74.16824984
1.670410691,-74.22494567
1.676170727,-74.18264009
1.681930764,-74.1403345
1.687690801,-74.09802892
1.693450838,-74.05572334
1.699210875,-74.01341776
1.704970912,-73.97111218
